"ID","Game","Power","P1_Expectation","P2_Expectation"
"ohn63s4ur","safe_shot_1",95,100,20
"ohn63s4ur","safe_shot_2",92,100,19
"ohn63s4ur","strategic_dummy_1",70,100,50
"ohn63s4ur","trust_game_2",64,77,71
"oy1a38rjk","common_interest_1",24,27,0
"oy1a38rjk","common_interest_2",38,97,0
"oy1a38rjk","costly_help_2",18,25,82
"oy1a38rjk","costly_punish_1",38,77,0
"oy1a38rjk","free_help_2",26,75,14
"oy1a38rjk","near_dictator_1",10,26,0
"oy1a38rjk","safe_shot_1",0,100,21
"oy1a38rjk","safe_shot_2",100,100,14
"oy1a38rjk","strategic_dummy_1",36,12,51
"oy1a38rjk","trust_game_2",19,26,83
"pck3gnjyk","common_interest_1",76,79,0
"pck3gnjyk","common_interest_2",21,100,0
"pck3gnjyk","costly_help_2",72,90,100
"pck3gnjyk","costly_punish_1",68,90,0
"pck3gnjyk","free_help_2",26,100,0
"pck3gnjyk","near_dictator_1",0,16,0
"pck3gnjyk","safe_shot_1",100,100,0
"pck3gnjyk","safe_shot_2",76,100,0
"pck3gnjyk","strategic_dummy_1",0,100,50
"pck3gnjyk","trust_game_2",73,35,67
"qx7nqkko9","common_interest_1",34,71,4
"qx7nqkko9","common_interest_2",33,82,72
"qx7nqkko9","costly_help_2",41,80,60
"qx7nqkko9","costly_punish_1",35,65,17
"qx7nqkko9","free_help_2",64,92,22
"qx7nqkko9","near_dictator_1",10,25,0
"qx7nqkko9","safe_shot_1",64,100,4
"qx7nqkko9","safe_shot_2",89,100,22
"qx7nqkko9","strategic_dummy_1",13,93,50
"qx7nqkko9","trust_game_2",30,76,45
"sd127f2kh","common_interest_1",25,96,5
"sd127f2kh","common_interest_2",25,74,0
"sd127f2kh","costly_help_2",73,50,93
"sd127f2kh","costly_punish_1",4,97,21
"sd127f2kh","free_help_2",4,25,26
"sd127f2kh","near_dictator_1",6,3,1
"sd127f2kh","safe_shot_1",8,76,23
"sd127f2kh","safe_shot_2",99,0,94
"sd127f2kh","strategic_dummy_1",25,74,50
"sd127f2kh","trust_game_2",26,7,94
"sgkrpwmgx","common_interest_1",49,25,0
"sgkrpwmgx","common_interest_2",22,8,5
"sgkrpwmgx","costly_help_2",34,0,100
"sgkrpwmgx","costly_punish_1",67,27,22
"sgkrpwmgx","free_help_2",0,100,0
"sgkrpwmgx","near_dictator_1",0,0,0
"sgkrpwmgx","safe_shot_1",100,97,0
"sgkrpwmgx","safe_shot_2",51,100,0
"sgkrpwmgx","strategic_dummy_1",96,100,51
"sgkrpwmgx","trust_game_2",4,0,100
"t05qa367c","common_interest_1",100,100,0
